Filename,Segment,WC,WPS,Sixltr,Dic,Funct,TotPron,PronPer,Yo,Nosotro,TuUtd,ElElla,Ellos,PronImp,Articulo,Verbos,VerbAux,Pasado,Present,Futuro,Adverb,Prepos,Conjunc,Negacio,Cuantif,Numeros,Maldec,verbYO,verbTU,verbNOS,verbosEL,verbELLOS,Subjuntiv,VosUtds,formal,informal,verbVos,Social,Familia,Amigos,Humanos,Afect,EmoPos,EmoNeg,Ansiedad,Enfado,Triste,MecCog,Insight,Causa,Discrep,Tentat,Certeza,Inhib,Incl,Excl,Percept,Ver,Oir,Sentir,Biolog,Cuerpo,Salud,Sexual,Ingerir,Relativ,Movim,Espacio,Tiempo,Trabajo,Logro,Placer,Hogar,Dinero,Relig,Muerte,Asentir,NoFluen,Relleno,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
sr04.txt,1,1623,"25,76","20,58","70,30","46,27","13,80","7,09","0,80","0,06","0,49","5,91","1,97","6,72","12,26","7,95","0,74","2,28","4,62","0,00","3,20","14,05","5,18","1,60","1,42","2,40","0,00","1,17","0,06","0,12","2,90","0,68","0,80","0,55","0,00","0,00","0,00","7,46","0,74","0,31","0,37","2,96","1,97","1,36","0,18","0,55","0,18","17,50","2,65","1,17","0,43","1,29","0,55","0,55","6,47","2,22","2,46","0,49","0,49","0,74","1,23","0,49","0,06","0,06","0,68","10,35","1,97","6,10","2,77","2,16","2,34","0,86","0,12","1,11","0,25","0,12","0,06","0,00","0,00","10,97","3,70","6,84","0,12","0,06","0,18","0,00","0,06","0,00","0,00","0,00","0,00"
sr05.txt,1,1376,"28,08","23,98","71,80","48,55","13,08","7,27","0,15","0,07","0,15","7,12","2,47","5,81","12,57","7,92","1,09","2,25","4,94","0,00","3,85","15,26","5,52","1,60","2,11","2,62","0,00","0,73","0,00","0,07","2,62","0,36","1,02","0,44","0,00","0,00","0,00","9,59","0,73","0,00","2,18","3,63","1,38","1,74","0,22","1,09","0,22","17,22","1,53","1,02","0,44","1,67","1,02","0,80","7,27","2,11","1,60","0,22","0,36","0,22","0,94","0,15","0,07","0,07","0,65","10,32","1,60","6,10","3,27","2,03","2,47","0,65","0,22","0,73","0,94","0,15","0,15","0,00","0,00","10,17","3,56","6,32","0,29","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
sr06.txt,1,660,"47,14","18,79","68,79","47,73","15,00","8,03","0,00","0,15","0,15","7,73","3,18","6,97","13,48","9,55","1,06","1,52","6,82","0,00","3,33","13,48","4,39","1,21","1,36","1,67","0,15","0,45","0,00","0,00","3,18","0,76","0,91","0,61","0,00","0,00","0,00","8,18","0,15","0,00","0,15","3,18","1,52","1,36","0,15","0,45","0,45","17,88","1,67","0,76","1,52","3,48","1,36","0,30","4,70","2,42","1,97","0,15","0,30","0,45","1,21","0,00","0,15","0,00","1,06","9,70","2,12","5,00","3,79","1,21","1,97","0,76","0,00","0,30","0,15","0,15","0,30","0,00","0,00","8,03","2,12","5,30","0,15","0,45","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
sr07.txt,1,1112,"25,86","21,31","72,21","46,76","13,22","7,55","0,00","0,00","0,36","7,10","2,70","5,67","12,95","8,81","0,27","1,53","6,47","0,00","2,70","15,38","5,67","1,53","0,72","1,35","0,09","0,81","0,00","0,09","2,16","0,72","2,43","0,18","0,00","0,00","0,00","8,27","0,18","0,00","0,27","4,41","1,08","2,88","0,36","1,44","0,36","17,18","1,98","0,63","0,90","1,17","1,62","0,81","6,56","2,34","2,70","0,45","0,99","0,72","2,52","1,26","0,27","0,90","0,81","9,98","1,98","6,03","2,79","2,34","1,44","0,81","0,18","0,54","0,27","0,09","0,27","0,09","0,00","11,33","3,51","6,83","0,36","0,09","0,36","0,00","0,00","0,00","0,00","0,18","0,00"
sr08.txt,1,1293,"30,07","21,35","72,16","47,80","15,00","8,28","0,00","0,00","0,93","7,89","2,01","6,73","12,45","9,36","0,54","1,78","6,88","0,00","3,79","13,92","5,80","2,01","1,39","1,08","0,39","0,39","0,08","0,00","3,25","0,85","1,08","0,23","0,00","0,15","0,00","8,74","0,23","0,08","0,46","3,40","2,09","1,31","0,23","0,70","0,15","18,02","2,17","1,01","0,31","2,63","0,70","0,39","5,88","2,63","3,33","0,23","1,01","1,47","1,55","0,62","0,39","0,15","0,62","8,04","0,77","5,10","2,24","1,93","1,70","0,54","0,08","0,70","0,00","0,46","0,23","0,08","0,00","9,98","3,33","5,96","0,46","0,08","0,00","0,00","0,00","0,00","0,00","0,15","0,00"
sr09.txt,1,1126,"20,47","19,63","75,58","50,18","12,43","5,68","0,62","0,44","0,09","5,06","1,78","6,75","11,01","9,15","0,53","2,31","5,68","0,00","4,26","15,36","7,19","1,69","1,78","2,93","0,09","1,24","0,00","0,27","2,22","0,89","1,42","0,71","0,00","0,00","0,00","8,35","0,89","0,00","0,71","3,82","1,95","1,42","0,00","0,98","0,27","21,94","2,93","1,78","1,33","3,91","1,60","0,53","8,08","2,31","1,87","0,44","0,44","0,62","1,60","0,44","0,53","0,36","0,62","10,30","2,75","4,53","4,00","1,87","1,42","1,07","1,07","0,36","0,36","0,09","0,00","0,09","0,00","12,26","3,46","6,93","0,27","0,09","1,51","0,00","0,00","0,00","0,00","0,00","0,00"
sr10.txt,1,1102,"26,24","20,69","70,96","47,01","13,34","7,99","0,00","0,09","0,18","7,53","2,81","5,35","13,79","7,71","0,73","1,72","5,17","0,00","2,36","15,43","5,17","1,72","1,00","1,81","0,09","0,45","0,09","0,18","2,27","1,00","0,45","1,00","0,00","0,00","0,00","8,44","0,45","0,00","0,09","2,27","0,73","1,54","0,00","0,82","0,27","16,33","2,09","1,18","0,45","1,63","1,36","0,00","6,53","2,36","2,54","1,27","0,54","0,91","1,09","0,82","0,00","0,18","0,27","9,07","1,63","5,54","2,54","2,00","0,73","2,00","0,45","0,64","0,09","1,00","0,45","0,00","0,00","11,16","3,81","6,44","0,64","0,00","0,09","0,00","0,09","0,00","0,00","0,00","0,09"
sr11.txt,1,708,"23,60","20,34","71,47","46,89","12,71","6,50","0,14","0,42","0,28","6,07","2,68","6,21","11,44","10,03","1,27","1,84","6,92","0,00","6,21","11,16","6,64","3,81","1,41","1,41","0,00","0,85","0,00","0,42","2,82","1,13","1,69","0,14","0,00","0,00","0,00","8,05","0,71","0,14","0,85","3,25","1,55","0,85","0,00","0,14","0,14","21,75","2,26","1,13","1,55","2,26","1,84","1,13","6,50","3,39","2,40","0,85","0,71","0,71","0,71","0,14","0,28","0,00","0,28","11,02","1,69","5,08","4,52","3,11","1,69","0,42","0,00","0,28","0,00","0,14","0,56","0,14","0,00","10,88","4,10","5,93","0,28","0,14","0,00","0,28","0,14","0,00","0,00","0,00","0,00"
sr12.txt,1,1305,"36,25","21,76","71,72","48,58","14,94","8,51","0,15","0,00","0,23","7,89","2,61","6,44","13,18","7,97","1,07","2,61","4,67","0,00","4,29","15,02","5,13","2,07","1,15","2,15","0,08","0,46","0,00","0,23","2,22","0,84","0,84","0,38","0,00","0,00","0,00","8,05","0,38","0,15","0,23","2,61","1,84","0,77","0,08","0,38","0,08","17,93","1,69","0,77","0,84","1,99","0,84","0,23","5,52","2,15","2,53","0,38","1,00","0,15","1,46","0,69","0,00","0,00","0,84","8,74","1,61","4,67","3,14","3,14","2,07","0,61","0,23","1,38","0,15","0,00","0,31","0,00","0,00","8,81","2,84","5,82","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","0,00"
sr13.txt,1,1298,"27,62","24,35","69,72","47,15","14,56","9,63","0,08","0,08","0,31","9,32","3,24","4,93","13,87","8,01","0,85","1,23","5,55","0,00","3,00","14,79","5,32","1,08","1,39","2,31","0,08","1,00","0,00","0,08","3,24","0,39","0,69","0,31","0,00","0,08","0,00","7,70","0,15","0,00","0,31","3,24","2,00","1,16","0,23","0,62","0,15","16,72","2,39","1,31","0,46","3,00","0,62","0,31","5,62","2,08","2,47","0,39","0,62","0,39","1,69","0,31","0,39","0,08","1,00","9,24","1,31","6,16","2,62","2,08","1,23","0,31","0,15","0,69","0,15","0,00","0,15","0,00","0,00","9,40","3,62","5,39","0,39","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
